Witaj w klubie;Dallas Buyers Club;2013;7/10
Człowiek, który gapił się na kozy;The Men Who Stare at Goats;2009;4/10
Zabójcza broń 3;Lethal Weapon 3;1992;7/10
Zabójcza broń 2;Lethal Weapon 2;1989;7/10
Zabójcza broń;Lethal Weapon;1987;7/10
Zabójcza broń 4;Lethal Weapon 4;1998;7/10
Stara baśń. Kiedy słońce było bogiem;;2003;2/10
Miłość i inne nieszczęścia;Love and Other Disasters;2006;6/10
Silent Hill;;2006;5/10
SEXiPIStOLS;Bandidas;2006;4/10
Łowcy umysłów;Mindhunters;2004;6/10
Ekspres polarny;The Polar Express;2004;8/10
Frantic;Frantic;1988;7/10
Uczeń czarnoksiężnika;The Sorcerer's Apprentice;2010;6/10
Dirty Dancing 2;Dirty Dancing: Havana Nights;2004;6/10
W chmurach;Up in the Air;2009;6/10
Zejście;The Descent;2005;6/10
Człowiek w żelaznej masce;The Man in the Iron Mask;1998;6/10
Taxi;Taxi;1998;6/10
Rewers;Rewers;2009;6/10
Był sobie chłopiec;About a Boy;2002;8/10
Ogniem i mieczem;Ogniem i mieczem;1999;7/10
Zombieland;;2009;6/10
Kick-Ass;Kick-Ass;2010;6/10
Mission: Impossible;;1996;7/10
Uwierz w ducha;Ghost;1990;7/10
Zabójczy numer;Lucky Number Slevin;2006;7/10
P.S. Kocham cię;P.S. I Love You;2007;6/10
Ścigany;The Fugitive;1993;7/10
Rambo: Pierwsza krew;First Blood;1982;7/10
Vanilla Sky;Vanilla Sky;2001;6/10
Skazany na bluesa;Skazany na bluesa;2005;7/10
Rocky;Rocky;1976;7/10
Aleksander;Alexander;2004;5/10
Mamma Mia!;Mamma Mia!;2008;6/10
Klik: I robisz, co chcesz;Click;2006;4/10
Pamiętnik;The Notebook;2004;7/10
The Ring;The Ring;2002;7/10
Piła;Saw;2004;6/10
Żona astronauty;The Astronaut's Wife;1999;5/10
Hrabia Monte Christo;The Count of Monte Cristo;2002;7/10
Kontakt;Contact;1997;8/10
Powrót do przyszłości;Back to the Future;1985;6/10
Sam;I Am Sam;2001;8/10
Negocjator;The Negotiator;1998;7/10
Truman Show;The Truman Show;1998;6/10
Siedem;Se7en;1995;7/10
Transsiberian;;2008;6/10
Harry Potter i Insygnia Śmierci: Część I;Harry Potter and the Deathly Hallows: Part 1;2010;7/10
Chłopiec z latawcem;The Kite Runner;2007;7/10
Śniadanie u Tiffany'ego;Breakfast at Tiffany's;1961;7/10
Broken Flowers;;2005;6/10
Kinsey;;2004;6/10
Heartbreaker. Licencja na uwodzenie;L'Arnacoeur;2010;6/10
Listy do Julii;Letters To Juliet;2010;6/10
Sierociniec;El Orfanato;2007;6/10
Harry Potter i Zakon Feniksa;Harry Potter and the Order of the Phoenix;2007;7/10
Wrota do piekieł;Drag Me to Hell;2009;5/10
Sztuka zrywania;The Break-Up;2006;6/10
Ludzkie dzieci;Children of Men;2006;7/10
Pokuta;Atonement;2007;7/10
Jak we śnie;La science des rêves;2006;7/10
Złe wychowanie;La Mala educación;2004;7/10
W rytmie serca;De battre, mon coeur s'est arreté;2005;8/10
Borat: Podpatrzone w Ameryce, aby Kazachstan rósł w siłę, a ludzie żyli dostatniej;Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan;2006;7/10
Salt;Salt;2010;5/10
Nieznajomi;The Strangers;2008;7/10
A teraz coś z zupełnie innej beczki;And Now for Something Completely Different;1971;7/10
Bezdroża;Sideways;2004;7/10
Michael Clayton;Michael Clayton;2007;6/10
Wszystko gra;Match Point;2005;7/10
Scoop - Gorący temat;Scoop;2006;7/10
Kula;Sphere;1998;7/10
Tożsamość;Identity;2003;7/10
Krucjata Bourne'a;The Bourne Supremacy;2004;8/10
Good Bye Lenin!;Good Bye Lenin!;2003;8/10
Dróżnik;The Station Agent;2003;7/10
Bliżej;Closer;2004;7/10
Gwiezdne wrota;Stargate;1994;7/10
Nie mów nikomu;Ne le dis à personne;2006;7/10
Poznasz przystojnego bruneta;You Will Meet a Tall Dark Stranger;2010;5/10
Miasto aniołów;City of Angels;1998;7/10
Wimbledon;Wimbledon;2004;7/10
Do szpiku kości;Winter's Bone;2010;6/10
 Wszystko w porządku;The Kids Are All Right;2010;6/10
Miasto złodziei;The Town;2010;7/10
Gdzie jesteś, Amando;Gone Baby Gone;2007;8/10
Lot nad kukułczym gniazdem;One Flew Over the Cuckoo's Nest;1975;7/10
Hancock;;2008;5/10
Dziennik Bridget Jones;Bridget Jones's Diary;2001;6/10
Władca Pierścieni: Powrót króla;The Lord of the Rings: The Return of the King;2003;7/10
Seksmisja;Seksmisja;1983;5/10
Zmierzch;Twilight;2008;4/10
Pasja;The Passion of the Christ;2004;5/10
Biegnij Lola, biegnij;Lola rennt;1998;5/10
Lejdis;Lejdis;2008;4/10
Anioły i demony;Angels & Demons;2009;4/10
Włoska robota;The Italian Job;2003;6/10
Uprowadzona;Taken;2008;7/10
Co nas kręci, co nas podnieca;Whatever Works;2009;7/10
Przekręt;Snatch.;2000;7/10
Autor widmo;The Ghost Writer;2010;7/10
Ocean's Eleven: Ryzykowna gra;Ocean's Eleven;2001;7/10
Raport mniejszości;Minority Report;2002;6/10
Dzień Niepodległości;Independence Day;1996;7/10
Piąty element;The Fifth Element;1997;6/10
Dziewiąte wrota;The Ninth Gate;1999;7/10
Piraci z Karaibów: Skrzynia umarlaka;Pirates of the Caribbean: Dead Man's Chest;2006;8/10
Dziewczyna z sąsiedztwa;The Girl Next Door;2004;5/10
Holiday;The Holiday;2006;6/10
Buntownik z wyboru;Good Will Hunting;1997;9/10
Jeździec bez głowy;Sleepy Hollow;1999;7/10
Sherlock Holmes;Sherlock Holmes;2009;8/10
Porozmawiaj z nią;Hable con ella;2002;7/10
W stronę morza;Mar adentro;2004;7/10
Między słowami;Lost in Translation;2003;7/10
To nie jest kraj dla starych ludzi;No Country for Old Men;2007;8/10
Amelia;Le fabuleux destin d'Amélie Poulain;2001;9/10
Hitch: Najlepszy doradca przeciętnego faceta;Hitch;2005;6/10
Marzyciel;Finding Neverland;2004;7/10
Imię róży;Der Name der Rose;1986;9/10
Skazani na Shawshank;The Shawshank Redemption;1994;10/10
Młody Sherlock Holmes;Young Sherlock Holmes;1985;8/10
Bez śladu;Without a Clue;1988;7/10
Duma i uprzedzenie;Pride & Prejudice;2005;9/10
Stowarzyszenie Umarłych Poetów;Dead Poets Society;1989;10/10
Przygoda na Antarktydzie;Eight Below;2006;1/10
13 Dzielnica;Banlieue 13;2004;3/10
Siła i honor;Men of Honor;2000;4/10
Między piekłem a niebem;What Dreams May Come;1998;6/10
Oldboy;Oldeuboi;2003;3/10
Mumia;The Mummy;1999;4/10
Gothika;;2003;3/10
Rain Man;Rain Man;1988;7/10
Galerianki;Galerianki;2009;4/10
Edi;;2002;7/10
Absolwent;The Graduate;1967;8/10
Volver;Volver;2006;7/10
W pogoni za szczęściem;The Pursuit of Happyness;2006;7/10
Wszystko o mojej matce;Todo sobre mi madre;1999;6/10
Transporter;The Transporter;2002;5/10
Nagi instynkt;Basic Instinct;1992;2/10
Harry Potter i Kamień Filozoficzny;Harry Potter and the Sorcerer's Stone;2001;7/10
Marsjanie atakują!;Mars Attacks!;1996;2/10
Joe Black;Meet Joe Black;1998;5/10
Harry Potter i więzień Azkabanu;Harry Potter and the Prisoner of Azkaban;2004;7/10
Wpadka;Knocked Up;2007;6/10
Lęk pierwotny;Primal Fear;1996;5/10
Ona to on;She's the Man;2006;4/10
Dzień świstaka;Groundhog Day;1993;5/10
Harry Potter i Czara Ognia;Harry Potter and the Goblet of Fire;2005;6/10
Młodzi gniewni;Dangerous Minds;1995;5/10
Król Artur;King Arthur;2004;5/10
Notting Hill;Notting Hill;1999;9/10
50 pierwszych randek;50 First Dates;2004;4/10
Tylko mnie kochaj;Tylko mnie kochaj;2006;4/10
Narzeczony mimo woli;The Proposal;2009;6/10
To właśnie miłość;Love Actually;2003;9/10
Masz wiadomość;You've Got Mail;1998;8/10
Szkoła uwodzenia;Cruel Intentions;1999;2/10
Apocalypto;;2006;7/10
Predator;Predator;1987;5/10
Telefon;Phone Booth;2002;7/10
X-Men 2;X2;2003;2/10
E.T.;E.T.: The Extra-Terrestrial;1982;5/10
Szklana pułapka 4.0;Live Free or Die Hard;2007;7/10
Szklana pułapka;Die Hard;1988;6/10
Speed: Niebezpieczna prędkość;Speed;1994;3/10
Gosford Park;;2001;6/10
Przebudzenie;Awake;2007;5/10
Plan doskonały;Inside Man;2006;7/10
Psy;Psy;1992;5/10
Dom zły;Dom zły;2009;7/10
Zdjęcie w godzinę;One Hour Photo;2002;4/10
60 sekund;Gone in Sixty Seconds;2000;3/10
Polowanie na Czerwony Październik;The Hunt for Red October;1990;7/10
Pearl Harbor;Pearl Harbor;2001;4/10
Bad Boys;;1995;4/10
Ucieczka z Alcatraz;Escape from Alcatraz;1979;6/10
Twierdza;The Rock;1996;8/10
Zawód: Szpieg;Spy Game;2001;7/10
Gorączka;Heat;1995;6/10
Robin Hood: Książę złodziei;Robin Hood: Prince of Thieves;1991;6/10
Cztery pokoje;Four Rooms;1995;6/10
Brudny Harry;Dirty Harry;1971;6/10
Jumanji;Jumanji;1995;5/10
Bez przebaczenia;Unforgiven;1992;6/10
Podejrzani;The Usual Suspects;1995;9/10
Działa Navarony;The Guns of Navarone;1961;5/10
Kolekcjoner kości;The Bone Collector;1999;7/10
Ratatuj;Ratatouille;2007;7/10
Wróg publiczny;Enemy of the State;1998;8/10
Wojna światów;War of the Worlds;2005;3/10
Opowieści z Narnii: Lew, czarownica i stara szafa;The Chronicles of Narnia: The Lion, the Witch and the Wardrobe;2005;6/10
Deja Vu;Deja Vu;2006;6/10
Żywot Briana;Life of Brian;1979;6/10
007 Quantum of Solace;Quantum of Solace;2008;6/10
Ultimatum Bourne'a;The Bourne Ultimatum;2007;8/10
Głupi i głupszy;Dumb & Dumber;1994;1/10
Skarb narodów;National Treasure;2004;5/10
Znaki;Signs;2002;4/10
Faceci w czerni;Men in Black;1997;4/10
Ace Ventura: Psi detektyw;Ace Ventura: Pet Detective;1994;2/10
Spider-Man;Spider-Man;2002;3/10
Matrix Rewolucje;The Matrix Revolutions;2003;5/10
Osada;The Village;2004;5/10
Maska;The Mask;1994;5/10
Step Up - Taniec zmysłów;Step Up;2006;5/10
Parnassus;The Imaginarium of Doctor Parnassus;2009;4/10
Eurotrip;EuroTrip;2004;7/10
Park Jurajski;Jurassic Park;1993;4/10
Armageddon;Armageddon;1998;5/10
Bruce Wszechmogący;Bruce Almighty;2003;4/10
Gwiezdny pył;Stardust;2007;7/10
Jestem legendą;I Am Legend;2007;6/10
Constantine;Constantine;2005;5/10
Terminal;The Terminal;2004;5/10
Troja;Troy;2004;4/10
Desperado;Desperado;1995;6/10
Matrix Reaktywacja;The Matrix Reloaded;2003;5/10
Titanic;Titanic;1997;6/10
Casino Royale;Casino Royale;2006;8/10
Shrek 2;Shrek 2;2004;5/10
Charlie i fabryka czekolady;Charlie and the Chocolate Factory;2005;4/10
Alicja w Krainie Czarów;Alice in Wonderland;2010;5/10
Tajne przez poufne;Burn After Reading;2008;6/10
Kiler;Kiler;1997;5/10
Ostatni samuraj;The Last Samurai;2003;6/10
Gnijąca panna młoda Tima Burtona;Corpse Bride;2005;5/10
Inni;The Others;2001;8/10
Piraci z Karaibów: Na krańcu świata;Pirates of the Caribbean: At World's End;2007;7/10
Batman - Początek;Batman Begins;2005;6/10
The Social Network;The Social Network;2010;9/10
Epoka lodowcowa;Ice Age;2002;4/10
Helikopter w ogniu;Black Hawk Down;2001;5/10
Avatar;Avatar;2009;3/10
Batman;Batman;1989;6/10
Wróg u bram;Enemy at the Gates;2001;7/10
Terminator;The Terminator;1984;6/10
Pachnidło: Historia mordercy;Perfume: The Story of a Murderer;2006;6/10
Kill Bill 2;Kill Bill: Vol. 2;2004;6/10
Memento;;2000;6/10
Madagaskar;Madagascar;2005;4/10
Equilibrium;Equilibrium;2002;3/10
Efekt motyla;The Butterfly Effect;2004;6/10
Dystrykt 9;District 9;2009;6/10
Tożsamość Bourne'a;The Bourne Identity;2002;8/10
Pianista;The Pianist;2002;8/10
WALL·E;WALL·E;2008;8/10
Sami swoi;Sami swoi;1967;6/10
Chłopaki nie płaczą;Chłopaki nie płaczą;2000;6/10
Sens życia wg Monty Pythona;The Meaning of Life;1983;7/10
Sok z żuka;Beetle Juice;1988;5/10
Adwokat diabła;The Devil's Advocate;1997;6/10
Labirynt fauna;El Laberinto del fauno;2006;7/10
Edward Nożycoręki;Edward Scissorhands;1990;5/10
Braveheart - Waleczne Serce;Braveheart;1995;6/10
Czekolada;Chocolat;2000;7/10
Prestiż;The Prestige;2006;7/10
Iluzjonista;The Illusionist;2006;7/10
Złap mnie, jeśli potrafisz;Catch Me If You Can;2002;7/10
Zakochany bez pamięci;Eternal Sunshine of the Spotless Mind;2004;9/10
Mroczny Rycerz;The Dark Knight;2008;9/10
Terminator 2: Dzień sądu;Terminator 2: Judgment Day;1991;6/10
Dzień świra;Dzień świra;2002;6/10
Piękny umysł;A Beautiful Mind;2001;8/10
Władca Pierścieni: Dwie wieże;The Lord of the Rings: The Two Towers;2002;7/10
Milczenie owiec;The Silence of the Lambs;1991;7/10
Miś;Miś;1980;6/10
Wszystko za życie;Into the Wild;2007;8/10
Monty Python i Święty Graal;Monty Python and the Holy Grail;1975;7/10
Odlot;Up;2009;7/10
Ojciec chrzestny;The Godfather;1972;6/10
Miasto Boga;Cidade de Deus;2002;7/10
Incepcja;Inception;2010;8/10
Władca Pierścieni: Drużyna Pierścienia;The Lord of the Rings: The Fellowship of the Ring;2001;8/10
Testosteron;Testosteron;2007;2/10
Wszyscy jesteśmy Chrystusami;Wszyscy jesteśmy Chrystusami;2006;6/10
Piraci z Karaibów: Klątwa Czarnej Perły;Pirates of the Caribbean: The Curse of the Black Pearl;2003;8/10
Lista Schindlera;Schindler's List;1993;7/10
Trainspotting;;1996;7/10
Kac Vegas;The Hangover;2009;7/10
Slumdog. Milioner z ulicy;Slumdog Millionaire;2008;6/10
Wyspa tajemnic;Shutter Island;2010;8/10
 Bruce Wszechmogący;Bruce Almighty;2003;4/10
Troja;Troy;2004;4/10
Znaki;Signs;2002;4/10
Epoka lodowcowa;Ice Age;2002;4/10
Zdjęcie w godzinę;One Hour Photo;2002;4/10
Siła i honor;Men of Honor;2000;4/10
Pearl Harbor;Pearl Harbor;2001;4/10
Faceci w czerni;Men in Black;1997;4/10
Park Jurajski;Jurassic Park;1993;4/10
Bad Boys;;1995;4/10
Mumia;The Mummy;1999;4/10
Raj na ziemi;Wanderlust;2012;3/10
Och, Karol 2;Och, Karol 2;2011;3/10
Kochanie, poznaj moich kumpli;A Few Best Men;2011;3/10
Piękne istoty;Beautiful Creatures;2013;3/10
Bez smyczy;Hall Pass;2011;3/10
Wyznania zakupoholiczki;Confessions of a Shopaholic;2009;3/10
Niezniszczalni;The Expendables;2010;3/10
Avatar;Avatar;2009;3/10
13 Dzielnica;Banlieue 13;2004;3/10
Wojna światów;War of the Worlds;2005;3/10
Oldboy;Oldeuboi;2003;3/10
Gothika;;2003;3/10
Equilibrium;Equilibrium;2002;3/10
Spider-Man;Spider-Man;2002;3/10
Speed: Niebezpieczna prędkość;Speed;1994;3/10
60 sekund;Gone in Sixty Seconds;2000;3/10
Niewierni;Les Infidèles;2012;2/10
Projekt dziecko, czyli ojciec potrzebny od zaraz;;2010;2/10
Disco robaczki;Disco ormene;2008;2/10
Ruiny;The Ruins;2008;2/10
Job, czyli ostatnia szara komórka;Job, czyli ostatnia szara komórka;2006;2/10
Testosteron;Testosteron;2007;2/10
Stara baśń. Kiedy słońce było bogiem;;2003;2/10
X-Men 2;X2;2003;2/10
Ace Ventura: Psi detektyw;Ace Ventura: Pet Detective;1994;2/10
Nagi instynkt;Basic Instinct;1992;2/10
Szkoła uwodzenia;Cruel Intentions;1999;2/10
Marsjanie atakują!;Mars Attacks!;1996;2/10
Rango;;2011;1/10
Paintball;;2009;1/10
Przygoda na Antarktydzie;Eight Below;2006;1/10
Głupi i głupszy;Dumb & Dumber;1994;1/10
